		Temp.	Temp.	Temp.	Hum.	Pto.	Vel.	Dir.	Rec.	Vel.	Dir.	Sens.	Ind.	Ind.			Int. 	Grad.D.	Grad.D.	Temp.	Hum.	Rocío	In.Cal.	Muest	Tx  	Recep.	Int.
Fecha	Hora	Ext.	Máx.	Mín.	Ext.	Rocío	Viento	Viento	Viento	Máx.	Max.	Term.	Calor	THW 	Bar  	Lluvia	Lluvia	Calor 	Frío 	Int.	Int.	Int.	Int.  	Viento	Viento	ISS 	Arc.
10/01/15	2:20 a	23.3	23.4	23.3	78	19.2	8.0	SSE	0.67	19.3	W	23.3	24.3	24.3	1008.5	0.00	0.0	0.000	0.017	34.8	42	20.0	38.1	99	8	100.0	5
10/01/15	2:25 a	23.2	23.3	23.2	78	19.1	4.8	NE	0.40	12.9	SSW	23.2	24.2	24.2	1008.4	0.00	0.0	0.000	0.017	34.8	42	20.0	38.1	99	8	100.0	5
10/01/15	2:30 a	23.1	23.2	23.1	79	19.2	4.8	NE	0.40	11.3	WNW	23.1	24.1	24.1	1008.4	0.00	0.0	0.000	0.016	34.8	42	20.0	38.1	97	8	100.0	5
10/01/15	2:35 a	22.9	23.1	22.9	79	19.1	6.4	WSW	0.54	16.1	W	22.9	23.9	23.9	1008.3	0.00	0.0	0.000	0.016	34.8	42	20.0	38.1	98	8	100.0	5
10/01/15	2:40 a	22.8	22.9	22.8	79	19.0	4.8	N	0.40	16.1	SSW	22.8	23.8	23.8	1008.4	0.00	0.0	0.000	0.016	34.8	42	20.0	38.1	97	8	100.0	5
10/01/15	2:45 a	22.8	22.8	22.8	79	18.9	4.8	SE	0.40	16.1	SW	22.8	23.7	23.7	1008.3	0.00	0.0	0.000	0.015	34.8	42	20.0	38.1	99	8	100.0	5
10/01/15	2:50 a	22.7	22.8	22.7	80	19.0	6.4	N	0.54	16.1	SW	22.7	23.6	23.6	1008.4	0.00	0.0	0.000	0.015	34.8	42	20.0	38.1	95	8	97.9	5
10/01/15	2:55 a	22.6	22.7	22.6	80	19.0	4.8	SE	0.40	16.1	W	22.6	23.6	23.6	1008.4	0.00	0.0	0.000	0.015	34.8	42	20.0	38.1	97	8	100.0	5
10/01/15	3:00 a	22.5	22.6	22.5	80	18.9	4.8	ENE	0.40	17.7	SSW	22.5	23.4	23.4	1008.4	0.00	0.0	0.000	0.014	34.8	42	20.0	38.1	99	8	100.0	5
10/01/15	3:05 a	22.4	22.5	22.4	80	18.8	4.8	SW	0.40	16.1	S	22.4	23.3	23.3	1008.4	0.00	0.0	0.000	0.014	34.8	42	20.0	38.1	100	8	100.0	5
10/01/15	3:10 a	22.3	22.4	22.3	80	18.7	6.4	WSW	0.54	22.5	SW	22.3	23.2	23.2	1008.4	0.00	0.0	0.000	0.014	34.8	42	20.0	38.1	98	8	100.0	5
10/01/15	3:15 a	22.2	22.3	22.2	81	18.8	4.8	S	0.40	9.7	SSE	22.2	23.1	23.1	1008.5	0.00	0.0	0.000	0.014	34.8	42	20.0	38.1	96	8	99.0	5
10/01/15	3:20 a	22.2	22.2	22.2	80	18.6	3.2	ENE	0.27	11.3	SSW	22.2	22.9	22.9	1008.6	0.00	0.0	0.000	0.013	34.8	42	20.0	38.1	97	8	100.0	5
10/01/15	3:25 a	22.1	22.2	22.1	81	18.6	3.2	WSW	0.27	12.9	WSW	22.1	22.9	22.9	1008.6	0.00	0.0	0.000	0.013	34.8	42	20.0	38.1	96	8	99.0	5
10/01/15	3:30 a	21.9	22.1	21.9	81	18.5	4.8	ENE	0.40	12.9	WNW	21.9	22.7	22.7	1008.6	0.00	0.0	0.000	0.013	34.8	42	20.0	38.1	95	8	97.9	5
10/01/15	3:35 a	21.8	21.9	21.8	80	18.2	4.8	ESE	0.40	16.1	SE	21.8	22.6	22.6	1008.6	0.00	0.0	0.000	0.012	34.8	42	20.0	38.1	95	8	97.9	5
10/01/15	3:40 a	21.7	21.8	21.7	80	18.1	4.8	SE	0.40	14.5	SW	21.7	22.4	22.4	1008.7	0.00	0.0	0.000	0.012	34.8	42	20.0	38.1	98	8	100.0	5
10/01/15	3:45 a	21.6	21.7	21.6	81	18.2	3.2	NNW	0.27	8.0	NW	21.6	22.4	22.4	1008.6	0.00	0.0	0.000	0.011	34.8	42	20.0	38.1	98	8	100.0	5
10/01/15	3:50 a	21.6	21.6	21.6	80	18.0	4.8	WSW	0.40	12.9	SSE	21.6	22.3	22.3	1008.7	0.00	0.0	0.000	0.011	34.8	42	20.0	38.1	98	8	100.0	5
10/01/15	3:55 a	21.5	21.6	21.5	80	17.9	3.2	S	0.27	16.1	WSW	21.5	22.2	22.2	1008.8	0.00	0.0	0.000	0.011	34.8	42	20.0	38.1	96	8	99.0	5
10/01/15	4:00 a	21.4	21.5	21.4	80	17.8	4.8	ESE	0.40	11.3	SSW	21.4	22.1	22.1	1008.9	0.00	0.0	0.000	0.011	34.8	42	20.0	38.1	98	8	100.0	5
10/01/15	4:05 a	21.4	21.4	21.4	80	17.8	3.2	SW	0.27	6.4	SW	21.4	22.1	22.1	1009.0	0.00	0.0	0.000	0.011	34.8	42	20.0	38.1	97	8	100.0	5
10/01/15	4:10 a	21.3	21.4	21.3	81	17.9	3.2	SE	0.27	9.7	WNW	21.3	22.1	22.1	1009.0	0.00	0.0	0.000	0.010	34.8	42	20.0	38.1	95	8	97.9	5
10/01/15	4:15 a	21.3	21.3	21.3	81	17.9	3.2	SSE	0.27	8.0	NNW	21.3	21.9	21.9	1009.0	0.00	0.0	0.000	0.010	34.8	42	20.0	38.1	100	8	100.0	5
10/01/15	4:20 a	21.2	21.3	21.2	81	17.8	3.2	ESE	0.27	9.7	SSW	21.2	21.8	21.8	1009.0	0.00	0.0	0.000	0.010	34.8	42	20.0	38.1	97	8	100.0	5
10/01/15	4:25 a	21.1	21.2	21.1	82	17.9	4.8	W	0.40	12.9	WSW	21.1	21.8	21.8	1009.2	0.00	0.0	0.000	0.009	34.8	42	20.0	38.1	95	8	97.9	5
10/01/15	4:30 a	21.1	21.1	21.1	82	17.9	3.2	ESE	0.27	6.4	WNW	21.1	21.8	21.8	1009.2	0.00	0.0	0.000	0.009	34.8	42	20.0	38.1	95	8	97.9	5
